stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
rate1,612,24,2006-10-10,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-11,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-12,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-13,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-16,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-17,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-18,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-19,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-20,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-23,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-24,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-25,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-26,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-27,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-30,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-10-31,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
rate1,612,24,2006-11-01,9,1216,676483915,118,17822179,"BANKRATE, INC.",0.58430377763195,,,,,,,
