stock_permalink,stock_id,quarter_id,quarter_description,net_buys,average_ranking,market_cap_13f,held_by,total_shares,name,put_call_ratio,sell_buy_ratio,closing_price,avg_short_volume,total_volume,high,low,open
true,167680,72,2018-11-29,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.5,31259,6026062,18,18.47,18.74
true,167680,72,2018-11-30,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,19.18,56234,7842856,19,18.51,18.53
true,167680,72,2018-12-03,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,19.35,90099,8685537,20,19.25,19.93
true,167680,72,2018-12-04,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.47,52153,6164319,19,18.44,19.04
true,167680,72,2018-12-06,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,18.27,71011,5968035,18,17.77,17.94
true,167680,72,2018-12-07,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.37,107089,5933662,18,17.34,18.24
true,167680,72,2018-12-10,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.59,37797,5321962,17,17.16,17.19
true,167680,72,2018-12-11,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.51,38044,4735728,18,17.39,17.93
true,167680,72,2018-12-12,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.87,42770,3110138,18,17.745,17.88
true,167680,72,2018-12-13,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.47,117622,3783347,18,17.455,17.92
true,167680,72,2018-12-14,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.53,50218,5300580,17,17.05,17.1
true,167680,72,2018-12-17,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.32,96492,6129754,18,17.13,17.36
true,167680,72,2018-12-18,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,17.73,106158,5038769,18,17.41,17.44
true,167680,72,2018-12-19,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.43,57501,8519155,17,16.25,17.55
true,167680,72,2018-12-20,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.1,29441,8280709,16,15.865,16.26
true,167680,72,2018-12-21,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.48,156778,7536388,16,15.48,16.34
true,167680,72,2018-12-24,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,15.06,41011,3135095,15,15.06,15.23
true,167680,72,2018-12-26,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.16,90890,5864086,16,15.13,15.13
true,167680,72,2018-12-27,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.17,23085,5374173,16,15.66,15.95
true,167680,72,2018-12-28,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.33,100972,6436419,16,16.04,16.22
true,167680,72,2018-12-31,3,1766,903520035,107,99726556,"TRUECAR INC",0.078330326797163,,16.51,31952,2985432,16,16.17,16.38
